OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
1,50030,NB BURRARD ST AT ROBSON ST,Vancouver/UBC,Vancouver,100,35,91,885,781,520,-123.12214,49.283593,002; 005; 032; 044; N22,Fall 2018,,002,-13705895.630315203,6323119.889750144
2,50031,NB BURRARD ST AT W GEORGIA ST,Vancouver/UBC,Vancouver,147,33,125,2406,1332,844,-123.120503,49.284688,002; 005; 032; 044,Fall 2018,,002,-13705713.41879415,6323306.76307112
3,50043,BURRARD STN BAY 1,Vancouver/UBC,Vancouver,2966,1760,1137,200,34,168,-123.119982,49.285306,002; 005; 032; N22,Fall 2018,,002,-13705655.396343928,6323412.261462464
4,50044,SB BURRARD ST AT W GEORGIA ST,Vancouver/UBC,Vancouver,724,461,312,73,19,55,-123.121683,49.284166,002; 005; 032; 044; N22,Fall 2018,,002,-13705844.736593217,6323217.66030748
5,50045,SB BURRARD ST AT ROBSON ST,Vancouver/UBC,Vancouver,405,531,283,101,47,81,-123.123336,49.283087,002; 032; N22,Fall 2018,,002,-13706028.769207124,6323033.524690256
6,50046,SB BURRARD ST AT BARCLAY ST,Vancouver/UBC,Vancouver,310,300,213,211,98,101,-123.12488,49.282068,002; 032; N22,Fall 2018,,002,-13706200.715619944,6322859.550837204
7,50047,SB BURRARD ST AT NELSON ST,Vancouver/UBC,Vancouver,322,178,137,986,365,290,-123.126516,49.280981,002; 032; 044; N22,Fall 2018,,002,-13706382.766887195,6322674.196663079
8,50054,EB W 16 AVE AT TRUTCH ST,Vancouver/UBC,Vancouver,0,0,0,23,25,11,-123.175459,49.257636,002; 033,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711831.117843362,6318691.312247521
9,50055,EB W 16 AVE AT CARNARVON ST,Vancouver/UBC,Vancouver,122,74,45,65,41,34,-123.17185,49.257583,002; 033,Fall 2018,,002,-13711429.339492362,6318682.429112741
10,50056,NB MACDONALD ST AT W 16 AVE,Vancouver/UBC,Vancouver,291,250,152,49,22,36,-123.168299,49.258079,002; N22,Fall 2018,,002,-13711034.038659677,6318766.956263314
11,50057,NB MACDONALD ST AT W 14 AVE,Vancouver/UBC,Vancouver,70,42,25,13,0,7,-123.168239,49.259869,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711027.326815013,6319072.315630308
12,50058,NB MACDONALD ST AT W 12 AVE,Vancouver/UBC,Vancouver,80,41,21,44,8,7,-123.168164,49.261778,002; N22,Fall 2018,,002,-13711018.965720389,6319397.937308245
13,50059,NB MACDONALD ST AT W 10 AVE,Vancouver/UBC,Vancouver,277,130,98,271,212,117,-123.168097,49.263469,002; N22,Fall 2018,,002,-13711011.57430233,6319686.41448025
14,50060,NB MACDONALD ST AT W BROADWAY,Vancouver/UBC,Vancouver,624,482,363,128,107,111,-123.168174,49.264458,002; N22,Fall 2018,,002,-13711020.098828426,6319855.045057787
15,50061,NB MACDONALD ST AT W 7 AVE,Vancouver/UBC,Vancouver,73,45,23,16,7,0,-123.168302,49.266074,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711034.418663908,6320130.739047884
16,50062,NB MACDONALD ST AT W 5 AVE,Vancouver/UBC,Vancouver,229,136,71,144,119,69,-123.16824,49.267795,002; N22,Fall 2018,,002,-13711027.501951747,6320424.259637016
17,50063,NB MACDONALD ST AT W 4 AVE,Vancouver/UBC,Vancouver,238,170,111,74,46,67,-123.168204,49.268707,002; 032; N22,Fall 2018,,002,-13711023.445084471,6320579.977885509
18,50064,NB MACDONALD ST AT W 2 AVE,Vancouver/UBC,Vancouver,62,42,27,33,32,15,-123.168134,49.270382,002; 032; N22,Fall 2018,,002,-13711015.648530869,6320865.5849089455
19,50066,EB CORNWALL AVE AT LARCH ST,Vancouver/UBC,Vancouver,73,47,26,31,13,13,-123.161651,49.272616,002; 032; N22,Fall 2018,,002,-13710293.94720219,6321246.890881316
