OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
1426,51156,EB KINGSWAY AT BOUNDARY RD,Burnaby/New Westminster,Burnaby,149,124,78,82,71,42,-123.022286,49.232257,019; 112; N19,Fall 2018,,019,-13694779.949186211,6314363.721266614
1427,51157,EB KINGSWAY AT SMITH AVE,Burnaby/New Westminster,Burnaby,20,12,13,17,24,9,-123.018383,49.232578,019; 112; N19,Fall 2018,,019,-13694345.518436046,6314418.583503221
1428,51158,EB KINGSWAY AT INMAN AVE,Burnaby/New Westminster,Burnaby,77,49,30,54,31,36,-123.015229,49.232758,019; 112; N19,Fall 2018,,019,-13693994.345606415,6314449.225644163
1429,51159,EB KINGSWAY AT PATTERSON AVE,Burnaby/New Westminster,Burnaby,31,22,11,68,45,36,-123.012252,49.232443,019; 112; N19,Fall 2018,,019,-13693662.92780534,6314395.463972821
1430,51160,EB KINGSWAY AT OLIVE AVE,Burnaby/New Westminster,Burnaby,32,30,16,76,64,40,-123.00953,49.231667,019; 112; N19,Fall 2018,,019,-13693359.943560371,6314263.2449945025
1431,51161,EB KINGSWAY AT WILSON AVE,Burnaby/New Westminster,Burnaby,27,36,24,73,64,37,-123.007485,49.230995,019; 112; N19,Fall 2018,,019,-13693132.312140618,6314148.609160559
1432,51162,SB WILLINGDON AVE AT KEMP ST,Burnaby/New Westminster,Burnaby,33,47,26,305,329,185,-123.005715,49.229565,019; 125; 130,Fall 2018,,019,-13692935.323214369,6313904.7959942855
1433,51163,EB CENTRAL BLVD AT WILLINGDON AVE,Burnaby/New Westminster,Burnaby,0,0,0,17,12,15,-123.006974,49.227271,019; 049; 116; 130,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,019,-13693075.471366981,6313513.833156391
1434,51164,METROTOWN STN BAY 2,Burnaby/New Westminster,Burnaby,831,916,657,0,0,0,-123.002888,49.226085,019,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,019,-13692620.607856497,6313311.714466858
1435,51165,NB WILLINGDON AVE AT CENTRAL BLVD,Burnaby/New Westminster,Burnaby,116,122,60,35,50,7,-123.007012,49.228005,019; 130,Fall 2018,,019,-13693079.66455234,6313638.941577612
1436,51166,WB KINGSWAY AT WILLINGDON AVE,Burnaby/New Westminster,Burnaby,310,291,250,65,55,79,-123.00553,49.230542,019; N19,Fall 2018,,019,-13692914.732214333,6314071.430801387
1437,51167,WB KINGSWAY AT WILSON AVE,Burnaby/New Westminster,Burnaby,62,55,60,61,78,36,-123.008159,49.231423,019; N19,Fall 2018,,019,-13693207.38347281,6314221.568458562
1438,51168,WB KINGSWAY AT BARKER AVE,Burnaby/New Westminster,Burnaby,102,65,63,98,78,63,-123.010599,49.232216,019; N19,Fall 2018,,019,-13693478.999894273,6314356.820763755
1439,51169,WB KINGSWAY AT INMAN AVE,Burnaby/New Westminster,Burnaby,81,56,62,134,109,89,-123.016178,49.232908,019; N19,Fall 2018,,019,-13694100.05255425,6314474.811329539
1440,51170,WB KINGSWAY AT SMITH AVE,Burnaby/New Westminster,Burnaby,30,28,24,41,61,36,-123.019689,49.23266,019; N19,Fall 2018,,019,-13694490.870821746,6314432.521409732
1441,51171,WB KINGSWAY AT BOUNDARY RD,Burnaby/New Westminster,Burnaby,20,10,11,69,26,26,-123.022197,49.232527,019; N19,Fall 2018,,019,-13694770.043558769,6314409.791282605
1471,52692,METROTOWN STN BAY 1,Burnaby/New Westminster,Burnaby,0,0,0,397,343,148,-123.003299,49.226277,019; 110; 112; 116; 119; 130; 144; 430,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,019,-13692666.324480753,6313344.376110101
1763,51390,SB WILLINGDON AVE AT DAWSON ST,Burnaby/New Westminster,Burnaby,86,41,21,10,0,0,-123.003368,49.264033,025; 123; 130,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,025,-13692673.968360722,6319782.540375186
1764,51458,NB WILLINGDON AVE AT JUNEAU ST,Burnaby/New Westminster,Burnaby,0,0,0,29,10,0,-123.003062,49.263385,025; 123; 130,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,025,-13692639.904343028,6319671.996269459
1819,51537,EB KINCAID ST AT BOUNDARY RD,Burnaby/New Westminster,Burnaby,41,54,19,95,93,53,-123.023043,49.24878,025,Fall 2018,,025,-13694864.210261099,6317180.957119261
1820,51538,EB KINCAID ST AT SMITH AVE,Burnaby/New Westminster,Burnaby,113,44,29,150,98,105,-123.019355,49.248763,025; 028; 129,Fall 2018,,025,-13694453.674809093,6317178.188711204
1821,51539,EB KINCAID ST AT MACDONALD AVE,Burnaby/New Westminster,Burnaby,104,36,30,141,67,58,-123.014855,49.248866,025; 129,Fall 2018,,025,-13693952.716073385,6317195.706954376
