OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
3196,53114,NB NORTH RD AT DELESTRE AVE,Northeast Sector,Coquitlam,14,6,6,13,9,6,-122.892497,49.24294,109,Fall 2018,,109,-13680331.848416016,6316185.152962241
3203,58128,NB NORTH RD AT LOUGHEED HWY,Northeast Sector,Coquitlam,0,0,0,12,12,10,-122.892571,49.24647,109; 157,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,109,-13680340.15868689,6316787.122537147
3209,59346,NB NORTH RD AT 200 BLOCK,Northeast Sector,Coquitlam,0,0,0,0,0,0,-122.892395,49.239155,109,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,109,-13680320.511690853,6315539.8030598825
3301,52861,NB NORTH RD AT AUSTIN AVE,Northeast Sector,Coquitlam,22,13,8,15,0,0,-122.892697,49.250068,110; 156; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,110,-13680354.142346822,6317400.744623429
3312,58191,NB NORTH RD AT GATINEAU PL,Northeast Sector,Coquitlam,34,16,20,0,0,0,-122.892661,49.248513,110; 152; 156; 180; N9,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,110,-13680350.147535844,6317135.494376184
4127,53045,WB COMO LAKE AVE AT 2500 BLOCK,Northeast Sector,Coquitlam,34,0,0,0,0,0,-122.823035,49.263283,143; 151; 153,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,143,-13672599.457307516,6319654.584847215
4128,53046,WB COMO LAKE AVE AT SEYMOUR DR,Northeast Sector,Coquitlam,0,0,0,0,0,0,-122.830605,49.263331,143; 151; 153,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,143,-13673442.11650579,6319662.81282343
4129,53047,WB COMO LAKE AVE AT THERMAL DR,Northeast Sector,Coquitlam,0,0,0,0,0,0,-122.83504,49.263405,143; 151; 153,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,143,-13673935.818131942,6319675.414063701
4130,53048,WB COMO LAKE AVE AT CUSTER COURT,Northeast Sector,Coquitlam,0,0,0,0,0,0,-122.837829,49.263403,143; 151; 153,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,143,-13674246.309551235,6319675.114732847
4131,53049,WB COMO LAKE AVE AT LINTON ST,Northeast Sector,Coquitlam,0,0,0,0,0,0,-122.841784,49.263447,143; 151,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,143,-13674686.501219263,6319682.677090252
