OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
2070,51747,PHIBBS EXCHANGE BAY 5,North Shore,North Vancouver - District,80,0,0,759,358,214,-123.029135,49.305795,028; 227; 239,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695542.374846905,6326909.482132084
2071,51748,WB OXFORD ST AT MOUNTAIN HWY,North Shore,North Vancouver - District,5,0,0,0,0,0,-123.031376,49.306044,028; 130; 209; 210; 211; 227; 239,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695791.800390905,6326952.021801973
2072,51749,NB MOUNTAIN HWY AT CROWN ST,North Shore,North Vancouver - District,0,0,0,0,0,0,-123.031976,49.309148,028; 130; 209; 210; 211; 227; 239,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695858.61213904,6327482.025164519
2073,51752,NB LILLOOET RD AT 1000 BLOCK,North Shore,North Vancouver - District,0,0,0,0,0,0,-123.023902,49.315778,028; 130; 239; 255,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13694959.845122008,6328614.184815705
2074,51755,SB LILLOOET RD AT PURCELL WAY,North Shore,North Vancouver - District,33,0,0,0,0,0,-123.024083,49.317205,028; 130; 239; 255,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13694980.030208668,6328857.761951872
2075,51756,SB LILLOOET RD AT MT SEYMOUR PARKWAY,North Shore,North Vancouver - District,13,0,0,0,0,0,-123.025195,49.312987,028; 130; 239; 255,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695103.82181408,6328137.466964383
2076,51757,SB MOUNTAIN HWY AT FERN ST,North Shore,North Vancouver - District,0,0,0,0,0,0,-123.032716,49.311044,028; 130; 209; 210; 211; 227; 239,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695941.06457323,6327805.81271373
2077,51758,SB MOUNTAIN HWY AT CHARLOTTE RD,North Shore,North Vancouver - District,0,0,0,0,0,0,-123.032289,49.309442,028; 130; 209; 210; 211; 227; 239,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695893.457247643,6327532.172559791
2078,51759,SB MOUNTAIN HWY AT RUPERT ST,North Shore,North Vancouver - District,6,0,0,0,0,0,-123.032056,49.307703,028; 130; 209; 210; 211; 227; 239,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695867.543330576,6327235.3565531485
2079,51760,EB OXFORD ST AT MOUNTAIN HWY,North Shore,North Vancouver - District,0,0,0,0,0,0,-123.03147,49.305957,028; 130; 209; 210; 211; 227; 232; 239,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,028,-13695802.331507934,6326937.2036215635
