OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
1649,51319,SB KNIGHT STREET BRIDGE AT MITCHELL I,Richmond,Richmond,0,0,0,7,0,0,-123.077678,49.206054,022; 405; 407; 430,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,022,-13700946.172364403,6309898.045534387
1650,51320,SB VIKING WAY AT BRIDGEPORT RD,Richmond,Richmond,0,0,0,12,0,0,-123.073404,49.191598,022; 405,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,022,-13700470.332623698,6307435.200738711
1651,51321,SB VIKING WAY AT CRESTWOOD PL,Richmond,Richmond,0,0,0,9,0,0,-123.073374,49.187824,022; 405,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,022,-13700466.996404463,6306792.518606613
1652,51323,NB JACOMBS RD AT ROWAN PL,Richmond,Richmond,8,0,0,0,0,0,-123.080211,49.186906,022,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,022,-13701228.091711929,6306636.093024869
1653,51325,NB KNIGHT STREET BRIDGE AT MITCHELL I,Richmond,Richmond,0,0,0,0,0,0,-123.077182,49.206873,022; 405; 407; 430,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,022,-13700890.974207046,6310037.609494064
1694,56926,WB CAMBIE RD AT VIKING WAY,Richmond,Richmond,0,0,0,8,0,0,-123.073733,49.184706,022; 405; 410; 416,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,022,-13700506.95104484,6306261.488808818
3046,52354,NB BOYD ST AT EWEN AVE,Richmond,New Westminster,6,0,0,15,8,5,-122.933742,49.192071,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13684923.324623328,6307515.812919176
3047,52355,EB DUNCAN ST AT 400 BLOCK,Richmond,New Westminster,34,6,0,52,6,0,-122.934885,49.195163,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13685050.56642356,6308042.614977278
3048,52356,SB FURNESS ST AT EWEN AVE,Richmond,New Westminster,216,69,31,177,55,38,-122.927269,49.194614,104,Fall 2018,,104,-13684202.711702848,6307949.091026787
3049,52357,WB EWEN AVE AT STANLEY ST,Richmond,New Westminster,0,0,0,0,0,0,-122.932626,49.192184,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13684798.990457254,6307535.117846597
3050,52358,WB EWEN AVE AT FENTON ST,Richmond,New Westminster,133,66,35,0,0,0,-122.936116,49.190708,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13685187.568402354,6307283.611507948
3051,52360,WB EWEN AVE AT WOOD ST,Richmond,New Westminster,288,149,114,8,0,0,-122.939919,49.189178,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13685610.85609067,6307023.096463604
3052,52361,WB EWEN AVE AT MCGILLIVRAY PL,Richmond,New Westminster,92,67,30,7,0,0,-122.941616,49.188467,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13685799.791036986,6306902.019109627
3053,52372,NB HOWES ST AT EWEN AVE,Richmond,New Westminster,195,69,44,69,22,22,-122.946975,49.18668,104; 410,Fall 2018,,104,-13686396.418651545,6306597.582794553
3055,52375,EB EWEN AVE AT HOWES ST,Richmond,New Westminster,29,18,13,118,24,32,-122.946218,49.186414,104,Fall 2018,,104,-13686312.143147571,6306552.2996928515
3056,52376,EB EWEN AVE AT LAWRENCE ST,Richmond,New Westminster,16,5,0,66,22,21,-122.943923,49.187364,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13686056.56631299,6306714.190500656
3057,52377,EB EWEN AVE AT WOOD ST,Richmond,New Westminster,7,0,7,251,127,98,-122.93864,49.189555,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13685468.517453384,6307087.252684078
3058,52378,EB EWEN AVE AT JOHNSTON ST,Richmond,New Westminster,8,0,0,132,65,49,-122.934811,49.191174,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13685042.257319132,6307363.051373219
3068,56029,NB HWY 91A ONRAMP AT HOWES ST,Richmond,New Westminster,151,87,106,5,0,0,-122.947272,49.187932,104; 340; 388; 410; 418,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13686429.404199118,6306810.890976041
3074,59118,EB EWEN AVE AT MCGILLIVRAY PL,Richmond,New Westminster,9,0,0,108,52,42,-122.940791,49.18858,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13685707.91080454,6306921.276856094
3076,61612,SB HOWES ST AT HOWES ST RAMP,Richmond,New Westminster,23,13,11,88,61,33,-122.947624,49.187052,104; 410,Fall 2018,,104,-13686468.59553253,6306661.0319604045
3077,61727,WB EWEN AVE AT DERWENT WAY,Richmond,New Westminster,89,45,28,0,0,0,-122.934131,49.191549,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13684966.567776354,6307426.848309592
7927,52080,NB GARDEN CITY RD AT WESTMINSTER HWY,Richmond,Richmond,80,67,12,5,0,0,-123.124413,49.170599,301; 407,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13706148.704481712,6303859.195805148
7928,52081,NB GARDEN CITY RD AT LANSDOWNE RD,Richmond,Richmond,189,71,50,6,0,0,-123.124389,49.174225,301; 407; 416,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13706146.046032391,6304476.570306688
7954,56474,SB GARDEN CITY RD AT LANSDOWNE RD,Richmond,Richmond,29,0,0,357,113,52,-123.124766,49.173272,301; 407,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13706187.947650082,6304314.20358746
7955,56546,RICHMOND-BRIGHOUSE STN BAY 1,Richmond,Richmond,819,332,296,22,21,0,-123.1364,49.167053,301; 416; 430,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13707483.042707019,6303255.473147315
7957,58966,EB HWY 91 OFFRAMP AT WESTMINSTER HWY,Richmond,Richmond,87,13,18,99,0,0,-122.975463,49.168661,301,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13689567.678217659,6303529.132755799
7958,58967,WB HWY 91 ONRAMP AT WESTMINSTER HWY,Richmond,Richmond,44,0,0,120,19,30,-122.973822,49.169794,301,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13689384.916721258,6303722.023196855
7960,61332,RICHMOND-BRIGHOUSE STN BAY 4,Richmond,Richmond,24,0,0,884,355,406,-123.13555,49.168747,301; 416,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13707388.49248232,6303543.766511361
7961,61500,WB ANDERSON RD AT NO. 3 RD,Richmond,Richmond,76,0,37,39,0,8,-123.136217,49.163535,301; N10,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13707462.63571825,6302656.580270106
7962,61521,WB WESTMINSTER HWY AT GARDEN CITY RD,Richmond,Richmond,15,0,0,38,16,13,-123.125653,49.170215,301,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,301,-13706286.662033,6303793.710183169
8047,58047,NB HWY 99 OFFRAMP AT STEVESTON HWY,Richmond,Richmond,12,0,0,44,0,0,-123.084336,49.133056,311; 351; 352; 354; 601; 602; 603; 604; 620,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,311,-13701687.309035094,6297469.454454159
8048,58048,SB HWY 99 ONRAMP AT STEVESTON HWY,Richmond,Richmond,41,0,0,10,0,0,-123.08712,49.13283,311; 351; 352; 354; 601; 602; 603; 604; 620,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,311,-13701997.208254728,6297430.893452786
8049,61321,BRIDGEPORT STN BAY 1 UNLOADING ONLY,Richmond,Richmond,0,0,0,478,0,0,-123.125911,49.195515,311; 351; 352; 354; 403; 412; 480; 601; 602; 603; 604; 620,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,311,-13706315.38993808,6308102.577465011
8050,61693,BRIDGEPORT STN BAY 6,Richmond,Richmond,428,0,0,0,0,0,-123.127321,49.19488,311; 412,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,311,-13706472.390961783,6307994.332220098
9142,55934,SB HWY 91A ONRAMP AT HOWES ST,Richmond,New Westminster,76,73,57,87,66,76,-122.949453,49.188232,340; 388,Fall 2018,,340,-13686672.17518328,6306861.955306552
9155,56029,NB HWY 91A ONRAMP AT HOWES ST,Richmond,New Westminster,199,179,124,106,104,74,-122.947272,49.187932,104; 340; 388; 410; 418,Fall 2018,,340,-13686429.404199118,6306810.890976041
9480,58047,NB HWY 99 OFFRAMP AT STEVESTON HWY,Richmond,Richmond,121,71,72,204,174,165,-123.084336,49.133056,311; 351; 352; 354; 601; 602; 603; 604; 620,Fall 2018,,351,-13701687.309035094,6297469.454454159
9481,58048,SB HWY 99 ONRAMP AT STEVESTON HWY,Richmond,Richmond,160,194,130,163,103,105,-123.08712,49.13283,311; 351; 352; 354; 601; 602; 603; 604; 620,Fall 2018,,351,-13701997.208254728,6297430.893452786
