OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
2761,54987,SB KING GEORGE BLVD AT 96 AVE,South of Fraser,Surrey,292,160,133,635,390,319,-122.846016,49.176019,096; 314; 321; 394,Fall 2018,,096,-13675157.626338858,6304781.988708135
2762,54988,NB KING GEORGE BLVD AT 96 AVE,South of Fraser,Surrey,647,408,317,309,154,128,-122.845422,49.177621,096; 314; 321; 326; 329; 394,Fall 2018,,096,-13675091.51271793,6305054.871210858
2763,54996,KING GEORGE STN BAY 1,South of Fraser,Surrey,384,262,203,157,123,111,-122.845706,49.183201,096; 314; 321; 326; 329,Fall 2018,,096,-13675123.19071876,6306005.138132645
2764,55128,GUILDFORD EXCHANGE BAY 1,South of Fraser,Surrey,23,26,21,2423,2420,1820,-122.803459,49.191353,096; 320; 326; 335; 337; 373; 375; 501; 509,Fall 2018,,096,-13670420.271598542,6307393.555267367
2765,55131,GUILDFORD EXCHANGE BAY 2,South of Fraser,Surrey,2099,2322,1872,11,15,11,-122.804013,49.191632,096; 320; 335; 337; 341; 501; 509,Fall 2018,,096,-13670481.944585107,6307441.0427696
2766,55214,EB 104 AVE AT WHALLEY BLVD,South of Fraser,Surrey,111,82,65,251,158,94,-122.84108,49.191475,096; 320; 501,Fall 2018,,096,-13674608.131417418,6307414.381532281
2767,55216,EB 104 AVE AT 140 ST,South of Fraser,Surrey,110,101,134,324,248,253,-122.833623,49.191383,096; 320; 501,Fall 2018,,096,-13673778.122916289,6307398.702079932
2768,55218,EB 104 AVE AT 144 ST,South of Fraser,Surrey,119,118,97,620,463,396,-122.822383,49.191438,096; 320; 501,Fall 2018,,096,-13672526.846887682,6307407.986182719
2769,55220,EB 104 AVE AT 148 ST,South of Fraser,Surrey,47,38,31,669,472,366,-122.81188,49.191406,096; 320; 501,Fall 2018,,096,-13671357.602414953,6307402.617818152
2770,55367,WB 104 AVE AT 148 ST,South of Fraser,Surrey,502,341,281,43,42,45,-122.813065,49.191583,096; 320; 501,Fall 2018,,096,-13671489.534857921,6307432.690523076
2771,55369,WB 104 AVE AT 144 ST,South of Fraser,Surrey,485,376,313,126,136,112,-122.824345,49.191605,096; 320; 501,Fall 2018,,096,-13672745.220194664,6307436.539991267
2772,55371,WB 104 AVE AT 140 ST,South of Fraser,Surrey,240,174,201,114,114,149,-122.834607,49.191566,096; 320; 501,Fall 2018,,096,-13673887.572023125,6307429.842821826
2773,55373,WB 104 AVE AT WHALLEY BLVD,South of Fraser,Surrey,140,82,54,149,141,100,-122.842718,49.191674,096; 320; 501,Fall 2018,,096,-13674790.518072356,6307448.224149686
2774,55411,NEWTON EXCHANGE BAY 3,South of Fraser,Surrey,3785,2836,2193,149,200,179,-122.842298,49.133297,096,Fall 2018,,096,-13674743.719233673,6297510.387326038
2775,55414,NB KING GEORGE BLVD AT 76 AVE,South of Fraser,Surrey,601,428,340,167,116,102,-122.845465,49.14148,096; 321; 394,Fall 2018,,096,-13675096.271352163,6298902.702999171
2776,55416,NB KING GEORGE BLVD AT 80 AVE,South of Fraser,Surrey,445,350,270,185,122,102,-122.845487,49.147573,096; 321; 394,Fall 2018,,096,-13675098.785793608,6299939.633761862
2777,55421,NB KING GEORGE BLVD AT 88 AVE,South of Fraser,Surrey,610,533,406,232,179,159,-122.845609,49.163422,096; 321; 394,Fall 2018,,096,-13675112.384803161,6302637.267608668
2778,55445,SB KING GEORGE BLVD AT 88 AVE,South of Fraser,Surrey,197,159,164,565,460,362,-122.84599,49.161766,096; 321; 394,Fall 2018,,096,-13675154.796588082,6302355.335112176
2779,55450,SB KING GEORGE BLVD AT 80 AVE,South of Fraser,Surrey,180,146,117,525,382,304,-122.845901,49.147239,096; 321; 394,Fall 2018,,096,-13675144.817315146,6299882.771941797
2780,55452,SB KING GEORGE BLVD AT 76 AVE,South of Fraser,Surrey,156,92,73,700,481,416,-122.845817,49.140079,096; 321; 394,Fall 2018,,096,-13675135.504380014,6298664.2982765045
2781,55456,NEWTON EXCHANGE BAY 5,South of Fraser,Surrey,50,53,54,3403,2557,2055,-122.842328,49.133426,096; 301; 319; 393,Fall 2018,,096,-13674747.082831137,6297532.342322602
2782,55760,GUILDFORD EXCHANGE BAY 3,South of Fraser,Surrey,42,31,41,62,51,63,-122.801592,49.191596,096; 320; 326; 335; 337; 341; 375; 501,Fall 2018,,096,-13670212.401657144,6307435.017213235
2783,56406,SURREY CENTRAL STN BAY 11,South of Fraser,Surrey,3958,2871,2262,2150,2088,1620,-122.847763,49.189406,096; 314; 320; 321; 323; 324; 329; 335; 337; 393; 501; 509; N19,Fall 2018,,096,-13675352.132905224,6307061.934123294
2784,59339,KING GEORGE STN BAY 4,South of Fraser,Surrey,441,307,255,2859,2017,1455,-122.845166,49.182677,096; 314; 321; 326; 329; 395; 502; 503,Fall 2018,,096,-13675062.992904568,6305915.771924059
2785,61036,SURREY CENTRAL STN BAY 13,South of Fraser,Surrey,2791,2441,1845,1401,1159,942,-122.847558,49.189684,096,Fall 2018,,096,-13675329.324624477,6307109.319103718
3033,52340,SB CLIVEDEN AVE AT 1600 BLOCK,South of Fraser,Delta,140,15,19,218,30,21,-122.972288,49.162461,104,Fall 2018,,104,-13689214.2028134,6302473.731189654
3034,52342,EB DERWENT WAY AT 1600 BLOCK,South of Fraser,Delta,26,6,6,19,0,0,-122.967538,49.161416,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13688685.418958785,6302295.7599999625
3035,52343,EB DERWENT WAY AT RIDLEY PL,South of Fraser,Delta,21,0,0,12,0,0,-122.964018,49.161935,104,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,104,-13688293.556342537,6302384.1652425425
