service_id,date,exception_type
1,20200410,2
1,20200518,2
1101,20200406,1
1101,20200407,1
1101,20200408,1
1101,20200409,1
1101,20200413,1
1101,20200414,1
1101,20200415,1
1101,20200416,1
1101,20200417,1
1101,20200420,1
1101,20200421,1
1101,20200422,1
1101,20200423,1
1101,20200427,1
1101,20200428,1
1101,20200429,1
1101,20200430,1
1101,20200504,1
1101,20200505,1
1101,20200506,1
1101,20200507,1
1101,20200511,1
1101,20200512,1
1101,20200513,1
1101,20200514,1
1101,20200519,1
1101,20200520,1
1101,20200521,1
1101,20200525,1
1101,20200526,1
1101,20200527,1
1101,20200528,1
1101,20200601,1
1101,20200602,1
1101,20200603,1
1101,20200604,1
1101,20200608,1
1101,20200609,1
1101,20200610,1
1101,20200611,1
1101,20200615,1
1101,20200616,1
1101,20200617,1
1101,20200618,1
1201,20200424,1
1201,20200501,1
1201,20200508,1
1201,20200515,1
1201,20200522,1
1201,20200529,1
1201,20200605,1
1201,20200612,1
1201,20200619,1
139901,20200406,1
139901,20200407,1
139901,20200408,1
139901,20200409,1
139901,20200413,1
139901,20200414,1
139901,20200415,1
139901,20200416,1
139901,20200417,1
139901,20200420,1
139901,20200421,1
139901,20200422,1
139901,20200423,1
139901,20200424,1
139901,20200427,1
139901,20200428,1
139901,20200429,1
139901,20200430,1
139901,20200501,1
139901,20200504,1
139901,20200505,1
139901,20200506,1
139901,20200507,1
139901,20200508,1
139901,20200511,1
139901,20200512,1
139901,20200513,1
139901,20200514,1
139901,20200515,1
139901,20200519,1
139901,20200520,1
139901,20200521,1
139901,20200522,1
139901,20200525,1
139901,20200526,1
139901,20200527,1
139901,20200528,1
139901,20200529,1
139901,20200601,1
139901,20200602,1
139901,20200603,1
139901,20200604,1
139901,20200605,1
139901,20200608,1
139901,20200609,1
139901,20200610,1
139901,20200611,1
139901,20200612,1
139901,20200615,1
139901,20200616,1
139901,20200617,1
139901,20200618,1
139901,20200619,1
152201,20200406,1
152201,20200407,1
152201,20200408,1
152201,20200409,1
152201,20200413,1
152201,20200414,1
152201,20200415,1
152201,20200416,1
152201,20200420,1
152201,20200421,1
152201,20200422,1
152201,20200423,1
152201,20200427,1
152201,20200428,1
152201,20200429,1
152201,20200430,1
152201,20200504,1
152201,20200505,1
152201,20200506,1
152201,20200507,1
152201,20200511,1
152201,20200512,1
152201,20200513,1
152201,20200514,1
152201,20200519,1
152201,20200520,1
152201,20200521,1
152201,20200525,1
152201,20200526,1
152201,20200527,1
152201,20200528,1
152201,20200601,1
152201,20200602,1
152201,20200603,1
152201,20200604,1
152201,20200608,1
152201,20200609,1
152201,20200610,1
152201,20200611,1
152201,20200615,1
152201,20200616,1
152201,20200617,1
152201,20200618,1
152301,20200417,1
152301,20200424,1
152301,20200501,1
152301,20200508,1
152301,20200515,1
152301,20200522,1
152301,20200529,1
152301,20200605,1
152301,20200612,1
152301,20200619,1
152302,20200411,1
152302,20200418,1
152302,20200425,1
152302,20200502,1
152302,20200509,1
152302,20200516,1
152302,20200523,1
152302,20200530,1
152302,20200606,1
152302,20200613,1
152302,20200620,1
152303,20200410,1
152303,20200412,1
152303,20200419,1
152303,20200426,1
152303,20200503,1
152303,20200510,1
152303,20200517,1
152303,20200518,1
152303,20200524,1
152303,20200531,1
152303,20200607,1
152303,20200614,1
152303,20200621,1
155601,20200406,1
155601,20200407,1
155601,20200408,1
155601,20200409,1
155601,20200413,1
155601,20200414,1
155601,20200415,1
155601,20200416,1
155601,20200417,1
155601,20200420,1
155601,20200421,1
155601,20200422,1
155601,20200423,1
155601,20200424,1
155601,20200427,1
155601,20200428,1
155601,20200429,1
155601,20200430,1
155601,20200501,1
155601,20200504,1
155601,20200505,1
155601,20200506,1
155601,20200507,1
155601,20200508,1
155601,20200511,1
155601,20200512,1
155601,20200513,1
155601,20200514,1
155601,20200515,1
155601,20200519,1
155601,20200520,1
155601,20200521,1
155601,20200522,1
155601,20200525,1
155601,20200526,1
155601,20200527,1
155601,20200528,1
155601,20200529,1
155601,20200601,1
155601,20200602,1
155601,20200603,1
155601,20200604,1
155601,20200605,1
155601,20200608,1
155601,20200609,1
155601,20200610,1
155601,20200611,1
155601,20200612,1
155601,20200615,1
155601,20200616,1
155601,20200617,1
155601,20200618,1
155601,20200619,1
1901,20200406,1
1901,20200407,1
1901,20200408,1
1901,20200409,1
1901,20200413,1
1901,20200414,1
1901,20200415,1
1901,20200416,1
1901,20200417,1
1901,20200420,1
1901,20200421,1
1901,20200422,1
1901,20200423,1
1901,20200424,1
1901,20200427,1
1901,20200428,1
1901,20200429,1
1901,20200430,1
1901,20200501,1
1901,20200504,1
1901,20200505,1
1901,20200506,1
1901,20200507,1
1901,20200508,1
1901,20200511,1
1901,20200512,1
1901,20200513,1
1901,20200514,1
1901,20200515,1
1901,20200519,1
1901,20200520,1
1901,20200521,1
1901,20200522,1
1901,20200525,1
1901,20200526,1
1901,20200527,1
1901,20200528,1
1901,20200529,1
1901,20200601,1
1901,20200602,1
1901,20200603,1
1901,20200604,1
1901,20200605,1
1901,20200608,1
1901,20200609,1
1901,20200610,1
1901,20200611,1
1901,20200612,1
1901,20200615,1
1901,20200616,1
1901,20200617,1
1901,20200618,1
1901,20200619,1
201,20200406,1
201,20200407,1
201,20200408,1
201,20200409,1
201,20200413,1
201,20200414,1
201,20200415,1
201,20200416,1
201,20200417,1
201,20200420,1
201,20200421,1
201,20200422,1
201,20200423,1
201,20200424,1
201,20200427,1
201,20200428,1
201,20200429,1
201,20200430,1
201,20200501,1
201,20200504,1
201,20200505,1
201,20200506,1
201,20200507,1
201,20200508,1
201,20200511,1
201,20200512,1
201,20200513,1
201,20200514,1
201,20200515,1
201,20200519,1
201,20200520,1
201,20200521,1
201,20200522,1
201,20200525,1
201,20200526,1
201,20200527,1
201,20200528,1
201,20200529,1
201,20200601,1
201,20200602,1
201,20200603,1
201,20200604,1
201,20200605,1
201,20200608,1
201,20200609,1
201,20200610,1
201,20200611,1
201,20200612,1
201,20200615,1
201,20200616,1
201,20200617,1
201,20200618,1
201,20200619,1
259701,20200406,1
259701,20200407,1
259701,20200408,1
259701,20200409,1
259701,20200413,1
259701,20200414,1
259701,20200415,1
259701,20200416,1
259701,20200417,1
259701,20200420,1
259701,20200421,1
259701,20200422,1
259701,20200423,1
259701,20200424,1
259701,20200427,1
259701,20200428,1
259701,20200429,1
259701,20200430,1
259701,20200501,1
259701,20200504,1
259701,20200505,1
259701,20200506,1
259701,20200507,1
259701,20200508,1
259701,20200511,1
259701,20200512,1
259701,20200513,1
259702,20200411,1
259702,20200418,1
259702,20200425,1
259702,20200502,1
259702,20200509,1
259703,20200410,1
259703,20200412,1
259703,20200419,1
259703,20200426,1
259703,20200503,1
259703,20200510,1
3,20200410,1
3,20200518,1
32603,20200410,1
32603,20200412,1
32603,20200419,1
32603,20200426,1
32603,20200503,1
32603,20200510,1
32603,20200517,1
32603,20200518,1
32603,20200524,1
32603,20200531,1
32603,20200607,1
32603,20200614,1
32603,20200621,1
4901,20200514,1
4901,20200515,1
4901,20200519,1
4901,20200520,1
4901,20200521,1
4901,20200522,1
4901,20200525,1
4901,20200526,1
4901,20200527,1
4901,20200528,1
4901,20200529,1
4901,20200601,1
4901,20200602,1
4901,20200603,1
4901,20200604,1
4901,20200605,1
4901,20200608,1
4901,20200609,1
4901,20200610,1
4901,20200611,1
4901,20200612,1
4901,20200615,1
4901,20200616,1
4901,20200617,1
