,stop_id,name,region,manicipality,avg_daily_boarding_mf,avg_daily_boarding_sat,avg_daily_boarding_sun,longitude,latitude
0,50030.0,NB BURRARD ST AT ROBSON ST,Vancouver/UBC,Vancouver,100,35,91,-123.12213999999999,49.283592999999996
1,50031.0,NB BURRARD ST AT W GEORGIA ST,Vancouver/UBC,Vancouver,147,33,125,-123.120503,49.284688
2,50043.0,BURRARD STN BAY 1,Vancouver/UBC,Vancouver,2966,1760,1137,-123.11998200000001,49.285306
3,50044.0,SB BURRARD ST AT W GEORGIA ST,Vancouver/UBC,Vancouver,724,461,312,-123.121683,49.284166
4,50045.0,SB BURRARD ST AT ROBSON ST,Vancouver/UBC,Vancouver,405,531,283,-123.12333600000001,49.283087
5,50046.0,SB BURRARD ST AT BARCLAY ST,Vancouver/UBC,Vancouver,310,300,213,-123.12488,49.282068
6,50047.0,SB BURRARD ST AT NELSON ST,Vancouver/UBC,Vancouver,322,178,137,-123.126516,49.280981
7,50054.0,EB W 16 AVE AT TRUTCH ST,Vancouver/UBC,Vancouver,0,0,0,-123.175459,49.257636
8,50055.0,EB W 16 AVE AT CARNARVON ST,Vancouver/UBC,Vancouver,122,74,45,-123.17185,49.257583000000004
9,50056.0,NB MACDONALD ST AT W 16 AVE,Vancouver/UBC,Vancouver,291,250,152,-123.168299,49.258078999999995
10,50057.0,NB MACDONALD ST AT W 14 AVE,Vancouver/UBC,Vancouver,70,42,25,-123.16823899999999,49.259869
11,50058.0,NB MACDONALD ST AT W 12 AVE,Vancouver/UBC,Vancouver,80,41,21,-123.16816399999999,49.261778
12,50059.0,NB MACDONALD ST AT W 10 AVE,Vancouver/UBC,Vancouver,277,130,98,-123.168097,49.263469
13,50060.0,NB MACDONALD ST AT W BROADWAY,Vancouver/UBC,Vancouver,624,482,363,-123.168174,49.264458000000005
14,50061.0,NB MACDONALD ST AT W 7 AVE,Vancouver/UBC,Vancouver,73,45,23,-123.168302,49.266073999999996
15,50062.0,NB MACDONALD ST AT W 5 AVE,Vancouver/UBC,Vancouver,229,136,71,-123.16824,49.267795
16,50063.0,NB MACDONALD ST AT W 4 AVE,Vancouver/UBC,Vancouver,238,170,111,-123.168204,49.268707
17,50064.0,NB MACDONALD ST AT W 2 AVE,Vancouver/UBC,Vancouver,62,42,27,-123.16813400000001,49.270382
18,50066.0,EB CORNWALL AVE AT LARCH ST,Vancouver/UBC,Vancouver,73,47,26,-123.161651,49.272616
19,50067.0,EB CORNWALL AVE AT BALSAM ST,Vancouver/UBC,Vancouver,158,85,72,-123.159332,49.272582
20,50068.0,EB CORNWALL AVE AT VINE ST,Vancouver/UBC,Vancouver,162,112,65,-123.156958,49.272548
21,50069.0,EB CORNWALL AVE AT YEW ST,Vancouver/UBC,Vancouver,312,296,182,-123.154568,49.272507
22,50070.0,EB CORNWALL AVE AT ARBUTUS ST,Vancouver/UBC,Vancouver,214,145,109,-123.152226,49.272471
23,50071.0,EB CORNWALL AVE AT MAPLE ST,Vancouver/UBC,Vancouver,255,206,128,-123.149829,49.272432
24,50072.0,EB CORNWALL AVE AT CYPRESS ST,Vancouver/UBC,Vancouver,670,479,315,-123.14733999999999,49.272368
25,50073.0,NB BURRARD ST AT PACIFIC ST,Vancouver/UBC,Vancouver,367,196,130,-123.13178300000001,49.277226
26,50075.0,NB BURRARD ST AT DAVIE ST,Vancouver/UBC,Vancouver,624,447,293,-123.12925200000001,49.278884999999995
27,50098.0,SB BURRARD ST AT DAVIE ST,Vancouver/UBC,Vancouver,539,429,294,-123.12964,49.278914
28,50101.0,WB CORNWALL AVE AT CYPRESS ST,Vancouver/UBC,Vancouver,206,123,105,-123.148302,49.272539
